0.92	3.6104536338330200 	4.0246003478094000 	4.0246003478094000 	-0.08000000 	0.02553105 	0.02553105 	0.31913817 	0.31913817 
0.925	3.6300756644516600 	4.0178037168578200 	4.0178037168578200 	-0.07500000 	0.02379917 	0.02379917 	0.31732221 	0.31732221 
0.93	3.6496976950703200 	4.0110687950867800 	4.0110687950867800 	-0.07000000 	0.02208300 	0.02208300 	0.31547147 	0.31547147 
0.935	3.6693197256889900 	4.0043661138971500 	4.0043661138971500 	-0.06500000 	0.02037505 	0.02037505 	0.31346238 	0.31346238 
0.94	3.6889417563076500 	3.9977280849903800 	3.9977280849903800 	-0.06000000 	0.01868358 	0.01868358 	0.31139302 	0.31139302 
0.945	3.7085637869263100 	3.9911490335277700 	3.9911490335277700 	-0.05500000 	0.01700714 	0.01700714 	0.30922066 	0.30922066 
0.95	3.7281858175449600 	3.9846344370341300 	3.9846344370341300 	-0.05000000 	0.01534712 	0.01534712 	0.30694231 	0.30694231 
0.955	3.7478078481636200 	3.9782047657681300 	3.9782047657681300 	-0.04500000 	0.01370873 	0.01370873 	0.30463855 	0.30463855 
0.96	3.7674298787822800 	3.9718345070977800 	3.9718345070977800 	-0.04000000 	0.01208549 	0.01208549 	0.30213733 	0.30213733 
0.965	3.7870519094009300 	3.9655456931836900 	3.9655456931836900 	-0.03500000 	0.01048301 	0.01048301 	0.29951443 	0.29951443 
0.97	3.8066739400195900 	3.9593260558844800 	3.9593260558844800 	-0.03000000 	0.00889814 	0.00889814 	0.29660481 	0.29660481 
0.975	3.8262959706382500 	3.9532037157906600 	3.9532037157906600 	-0.02500000 	0.00733808 	0.00733808 	0.29352306 	0.29352306 
0.98	3.8459180012569000 	3.9471921999002500 	3.9471921999002500 	-0.02000000 	0.00580625 	0.00580625 	0.29031241 	0.29031241 
0.985	3.8655400318755600 	3.9412711767373600 	3.9412711767373600 	-0.01500000 	0.00429748 	0.00429748 	0.28649860 	0.28649860 
0.99	3.8851620624942100 	3.9354459505139000 	3.9354459505139000 	-0.01000000 	0.00281312 	0.00281312 	0.28131204 	0.28131204 
0.995	3.9047840931128700 	3.9297227566162500 	3.9297227566162500 	-0.00500000 	0.00135476 	0.00135476 	0.27095223 	0.27095223 
1.005	3.9440281543502000 	3.9186548994080800 	3.9186548994080800 	0.00500000 	-0.00146550 	-0.00146550 	0.29310036 	0.29310036 
1.01	3.9636501849688600 	3.9132529966736800 	3.9132529966736800 	0.01000000 	-0.00284199 	-0.00284199 	0.28419910 	0.28419910 
1.015	3.9832722155875100 	3.9079752193398700 	3.9079752193398700 	0.01500000 	-0.00418685 	-0.00418685 	0.27912341 	0.27912341 
1.02	4.0028942462061600 	3.9028016286523600 	3.9028016286523600 	0.02000000 	-0.00550516 	-0.00550516 	0.27525815 	0.27525815 
1.025	4.0225162768248300 	3.8977388585754500 	3.8977388585754500 	0.02500000 	-0.00679524 	-0.00679524 	0.27180943 	0.27180943 
1.03	4.0421383074434800 	3.8927906325648500 	3.8927906325648500 	0.03000000 	-0.00805612 	-0.00805612 	0.26853737 	0.26853737 
1.035	4.0617603380621300 	3.8879569880236700 	3.8879569880236700 	0.03500000 	-0.00928781 	-0.00928781 	0.26536598 	0.26536598 
1.04	4.0813823686808000 	3.8832343382919800 	3.8832343382919800 	0.04000000 	-0.01049121 	-0.01049121 	0.26228036 	0.26228036 
1.045	4.1010043992994500 	3.8786257703314900 	3.8786257703314900 	0.04500000 	-0.01166555 	-0.01166555 	0.25923443 	0.25923443 
1.05	4.1206264299181200 	3.8741275581067200 	3.8741275581067200 	0.05000000 	-0.01281176 	-0.01281176 	0.25623528 	0.25623528 
1.055	4.1402484605367700 	3.8697401501434400 	3.8697401501434400 	0.05500000 	-0.01392974 	-0.01392974 	0.25326808 	0.25326808 
1.06	4.1598704911554200 	3.8654605320616100 	3.8654605320616100 	0.06000000 	-0.01502026 	-0.01502026 	0.25033763 	0.25033763 
1.065	4.1794925217740900 	3.8612857405936700 	3.8612857405936700 	0.06500000 	-0.01608406 	-0.01608406 	0.24744708 	0.24744708 
1.07	4.1991145523927500 	3.8572165343913100 	3.8572165343913100 	0.07000000 	-0.01712096 	-0.01712096 	0.24458510 	0.24458510 
1.075	4.2187365830114000 	3.8532499799312100 	3.8532499799312100 	0.07500000 	-0.01813170 	-0.01813170 	0.24175596 	0.24175596 
1.08	4.2383586136300600 	3.8493962553081600 	3.8493962553081600 	0.08000000 	-0.01911369 	-0.01911369 	0.23892108 	0.23892108 
